truckid,avgmpg
A1,4.785822711
A10,5.401717664
A100,4.939038953
A11,5.502368693
A12,4.686163839
A13,5.82054548
A14,4.939907303
A15,5.009636162
A16,4.933367405
A17,4.902493925
A18,6.295206724
A19,5.0493527
A2,5.795686564
A20,4.4346379
A21,4.248467132
A22,4.453221977
A23,4.60418329
A24,5.044884396
A25,4.756763642
A26,5.037540654
A27,4.94076317
A28,5.665508615
A29,4.652011108
A3,4.341879026
A30,6.202007499
A31,5.186630121
A32,5.17353088
A33,5.651888918
A34,4.739824311
A35,5.738289483
A36,4.74094815
A37,5.053048702
A38,5.917100755
A39,4.97024212
A4,4.504676812
A40,5.819931638
A41,4.855358136
A42,4.559024143
A43,4.43516544
A44,5.018996104
A45,5.2085408
A46,5.113125679
A47,4.722808315
A48,5.59225242
A49,5.623791677
A5,5.223425535
A50,4.515401783
A51,5.71087158
A52,4.709560596
A53,4.669730376
A54,5.12208271
A55,4.897750305
A56,4.765154211
A57,4.745868653
A58,4.337846525
A59,5.62393663
A6,5.709810313
A60,5.961296923
A61,6.238571479
A62,5.770136723
A63,4.923412926
A64,4.843162153
A65,4.582795668
A66,5.422210416
A67,5.712187104
A68,5.232702632
A69,5.481884539
A7,5.090388922
A70,5.002603211
A71,4.61759487
A72,4.860178146
A73,4.861641728
A74,5.507235805
A75,5.023487463
A76,4.635618188
A77,5.708873823
A78,4.946963149
A79,6.230205355
A8,4.997700889
A80,5.051228411
A81,5.343851087
A82,5.174718805
A83,5.175163152
A84,4.511143943
A85,4.871965541
A86,5.16000339
A87,4.894216129
A88,5.457134924
A89,4.793870888
A9,5.412078636
A90,5.070842113
A91,5.681998816
A92,5.787692966
A93,4.389087863
A94,4.994076714
A95,4.361883485
A96,5.082039822
A97,4.250512011
A98,4.809896133
A99,5.566050983
